catcher_id,def_interview_counts
127,28
141,2
51,15
243,1
219,2
92,3
195,1
286,2
446,677
327,30
478,2
0,14
613,2
669,40
676,1
629,1
719,1
718,1
712,18
723,9
692,7
289,2
781,2
776,1
716,2
577,1
765,4
404,1
832,222
211,2
407,3
426,1
207,1
367,1
677,1
746,14
800,1
873,1
899,1
903,1
904,1
905,2
872,5
908,44
907,2
910,3
920,1
922,22
927,10
924,1719
1217,28
930,1
931,1
933,4
934,3
935,3
936,1
1055,1
937,5
944,4
943,3
925,4
1043,2
946,1
992,2
995,1
928,21
950,2
991,4
942,9
984,11
985,2
993,3
987,3
1013,18
1016,4
1000,4
949,1
1009,9
1033,5
1023,2
1026,3
1129,2
1050,1
1049,2
1048,1
1040,4
1057,1
1059,1
1090,1
1209,227
1220,11
1223,3
1233,2
1235,24
1237,1
1241,1
1254,7
1262,2
1269,5
1271,8
1272,1
1274,3
1273,19
1278,1
1215,3
1307,1
1328,7
151,4
1372,112
1395,1
1430,7
1449,2
1412,131
1410,2
1347,15
1486,1
1404,4
1518,2
1515,2
1520,61
1525,42
1532,2
1534,1
1521,5
1537,1
1549,15
1552,3
1402,1
1553,17
1551,3
1407,1
1523,9
1564,8
1563,2
1570,1
1573,1
1576,2
1566,9
1574,1
1371,151
1548,7
1547,7
1374,10
1584,10
1587,4
1600,1
1593,3
1601,1
1369,11
1598,17
1625,4
1626,7
1627,6
1599,65
1607,6
1629,1
1592,7
1602,4
1636,2
1524,1
1634,1
1648,3
1582,7
1652,5
1650,3
1651,1
1591,5
1654,1
1655,3
1656,2
1657,9
1590,1
1658,1
1674,2
1637,2
1683,4
1684,10
1670,3
1608,11
1692,436
1696,39
1697,8
1698,2
1706,3
1633,6
1708,1
1710,10
1700,1
1714,9
1722,1
1724,5
1725,1
1726,4
1730,16
1631,1
1487,5
1748,10
1766,2
1774,1
1690,2
1687,2
1702,1
1712,1
1769,9
1798,1
1588,1
1802,3
1622,3
1772,2
1828,45
1839,279
1852,2
1856,2
1829,3
1840,1
1875,2
1891,2
1894,1
1870,1
1909,1
1914,1
1918,3
1925,35
1944,1
2009,1
2012,1
2013,2
2017,9
1940,8
2021,44
2022,13
2025,6
2031,1
2018,2
2052,5
2045,3
2058,3
2055,1
2111,1
2046,56
2143,3
2133,15
2146,2
2151,1
2153,2
2144,1
2155,76
2157,1
2048,3
2168,1
2169,517
2187,4
2190,1
2196,10
2183,20
2216,4
2218,2
2233,3
2247,1
2251,4
2255,1
1554,1
2274,66
2276,34
2277,9
2304,2
2295,1
2312,3
2326,3
2328,1
2365,7
2409,1
2334,614
2463,2
2414,1
2445,1
2451,123
2523,1
2525,2
2335,860
2534,11
2549,4
2453,7
2149,1
2488,1
2569,1
2570,2
2590,1
2412,38
2626,3
2625,4
2627,3
2628,2
2635,1
2634,7
